AD_HP_ID,CODE_FIR,VAL_LONG_RWY,UOM_LONG_RWY,CODE_ID,TXT_NAME,CODE_IATA,CODE_TYPE_MIL_OPS,GEO_LAT_ACCURACY,GEO_LONG_ACCURACY,VAL_ELEV,UOM_DIST_VER,VAL_MAG_VAR,VAL_MAG_YEAR,VAL_MAG_CHANGE_RATE,VAL_TRANSITION_ALT,UOM_TRANSITION_ALT,VAL_TRANSITION_LEVEL,UOM_TRANSITION_LEVEL,BUREAU_NAME,FLIGHT_RULE,PRIVATE_USE,IS_MODIFIED,IS_INTERNATIONAL,IS_TRANSITION_HEIGHT,TXT_RMK,
5d958dec-7f8b-42a4-a893-43b185b1b04f,,0,,,榆中,,MA,,,1772,M,-1.9,,,0,,0,M,其它,,,N,N,,,
591f8930-f6b3-4e04-ad6d-2dfe3be7ea4e,,0,,,蚌埠,,MA,,,34,M,-4.3,,,0,,0,M,其它,,,N,N,,,
a70253c5-3301-475b-a163-2226675fad31,,0,,,故城,,MA,,,21,M,-5.4,,,0,,0,M,其它,,,N,N,,,
3678664e-021d-4cc7-a737-5ff23c8afa28,,0,,,银川/贺兰山,,MA,,,1155,M,-2.6,,,0,,0,M,其它,,,N,N,,,
cc56915c-4077-41ae-8b7b-9adf6ab330ac,,0,,,沈阳/于洪,,MA,,,41,M,-8.1,,,0,,0,M,其它,,,N,N,,,
d6f9c650-c24a-444c-8cd9-93919de09313,,0,,,临汾,,MA,,,451,M,-3.7,,,0,,0,M,其它,,,N,N,,,
a11e5b2b-b91e-4de3-971e-b757ef867fb7,,0,,,开封,,MA,,,72,M,-4.2,,,0,,0,M,其它,,,N,N,,,
b89d1b13-2eb8-4f51-9c29-f0562fb8bd74,,0,,,包头/公庙子,,MA,,,1024,M,-3.7,,,0,,0,M,其它,,,N,N,,,
99c6eb55-91e4-4b5c-93b5-053721168993,,0,,,武汉,,MA,,,44,M,-3.5,,,0,,0,M,其它,,,N,N,,,
48aecfbf-9be8-40b7-94d2-0d6bda333566,,0,,,漳州,,MA,,,12,M,-2.9,,,0,,0,M,其它,,,N,N,,,
f6ded1e0-2129-4412-afbb-a7623aefe7dd,,0,,,武威,,MA,,,1559,M,-1.6,,,0,,0,M,其它,,,N,N,,,
868898d1-e45d-4b3e-957a-eae5787dbe44,,0,,,樟树,,MA,,,30,M,-3.4,,,0,,0,M,其它,,,N,N,,,
b182f1c2-07f8-43da-b046-9aa456428e1e,,0,,,酒泉/下河清,,MA,,,1483,M,-0.6,,,0,,0,M,其它,,,N,N,,,
900a9f64-d678-41e0-b492-d9bcf6ef11ae,,0,,,当阳,,MA,,,66,M,-3.1,,,0,,0,M,其它,,,N,N,,,
c160f1cd-ed37-4089-95a4-89cb6c32c8ca,,0,,,陵水,,MA,,,39,M,-0.9,,,0,,0,M,其它,,,N,N,,,
fbe40830-6239-447e-a8b1-eb4156763030,,0,,,昌吉/阿尾滩,,MA,,,740,M,3.1,,,0,,0,M,其它,,,N,N,,,
c1a0254b-e011-479b-b20a-e291bdf06a66,,0,,,临潼,,MA,,,391,M,-2.9,,,0,,0,M,其它,,,N,N,,,
df9c173e-7b7d-4d69-8eb6-29b05d8fe4d8,,0,,,安阳,,MA,,,75,M,4.4,,,0,,0,M,其它,,,N,N,,,
